Carroll St & 6 Ave	(0, 2)
3 Ave & Carroll St	(1, 0)
Cambridge Pl & Gates Ave	(2, 1)
Berkeley Pl & 7 Ave	(4, 1)
2 Ave & E 96 St	(1, 1)
Grand Army Plaza & Plaza St West	(1, 1)
10 Hudson Yards	(0, 2)
Division Av & Hooper St	(1, 1)
23 Ave & 27 St	(1, 0)
14 St & 5 Ave	(0, 3)
W 54 St & 9 Ave	(4, 4)
Marcy Ave & Lafayette Ave	(2, 0)
Berry St & N 8 St	(3, 1)
Franklin Ave & Myrtle Ave	(2, 0)
E 115 St & Lexington Ave	(0, 1)
E 67 St & Park Ave	(4, 3)
Leonard St & Nassau Ave	(2, 2)
St James Pl & Oliver St	(3, 4)
Washington Park	(1, 2)
Carlton Ave & Dean St	(1, 0)
E 89 St & 3 Ave	(1, 3)
E 66 St & Madison Ave	(0, 2)
Willoughby Ave & Walworth St	(0, 1)
Columbia St & Kane St	(0, 2)
Willoughby Ave & Hall St	(1, 1)
Court St & State St	(2, 1)
W 84 St & Columbus Ave	(3, 1)
Wyckoff St & Bond St	(1, 1)
6 Ave & W 33 St	(3, 5)
Congress St & Clinton St	(2, 1)
Kosciuszko St & Nostrand Ave	(1, 0)
3 St & 3 Ave	(1, 0)
5 Ave & E 93 St	(0, 1)
Division Ave & Marcy Ave	(3, 0)
5 Ave & E 88 St	(2, 3)
Sigourney St & Columbia St	(1, 0)
W 90 St & Amsterdam Ave	(1, 2)
Washington Ave & Park Ave	(1, 0)
E 81 St & 2 Ave	(0, 2)
Commerce St & Van Brunt St	(0, 1)
Kosciuszko St & Tompkins Ave	(0, 2)
Grand Ave & Bergen St	(0, 1)
21 St & Hoyt Ave S	(0, 1)
Market St & Cherry St	(1, 0)
Graham Ave & Conselyea St	(1, 2)
Carroll St & Columbia St	(0, 1)
W 100 St & Manhattan Ave	(1, 1)
5 St & Market St	(1, 0)
Columbia Heights & Cranberry St	(3, 0)
Sterling Pl & Bedford Ave	(0, 1)
Vernon Blvd & 31 Ave	(0, 3)
Union St & Nevins St	(0, 1)
Hancock St & Bedford Ave	(0, 1)
W 106 St & Amsterdam Ave	(2, 0)
W 120 St & Claremont Ave	(2, 0)
Degraw St & Smith St	(0, 3)
Bialystoker Pl & Delancey St	(0, 1)
47 Ave & 31 St	(0, 2)
40 Ave & Crescent St	(1, 0)
Jackson Ave & 46 Rd	(1, 0)
36 Ave & 10 St	(0, 2)
Wyckoff St & 3 Ave	(1, 1)
Frederick Douglass Blvd & W 112 St	(0, 1)
Van Brunt St & Wolcott St	(0, 2)
5 Ave & E 103 St	(1, 1)
27 St & Hunter St	(1, 0)
Frederick Douglass Blvd & W 117 St	(0, 2)
E 97 St & Madison Ave	(0, 1)
Berkeley Pl & 6 Ave	(0, 1)
Lewis Ave & Kosciuszko St	(0, 2)
7 St & 3 Ave	(1, 1)
Graham Ave & Herbert St	(1, 0)
E 47 St & 1 Ave	(0, 3)
3 Ave & E 72 St	(1, 1)
W 74 St & Columbus Ave	(3, 1)
Dwight St & Van Dyke St	(0, 1)
Schermerhorn St & Court St	(0, 2)
Dean St & Hoyt St	(0, 3)
E 118 St & 1 Ave	(1, 1)
DeKalb Ave & S Portland Ave	(0, 1)
Bergen St & Vanderbilt Ave	(1, 0)
Pitt St & Stanton St	(0, 1)
2 Ave & E 104 St	(1, 0)
Bushwick Ave & Powers St	(1, 0)
Atlantic Ave & Furman St	(2, 0)
Graham Ave & Grand St	(0, 3)
Douglass St & 3 Ave	(1, 1)
5 Ave & 3 St	(1, 0)
Lorimer St & Broadway	(0, 1)
West End Ave & W 94 St	(1, 1)
Carroll St & Bond St	(0, 3)
Leonard St & Maujer St	(1, 1)
Putnam Ave & Nostrand Ave	(0, 1)
W 76 St & Columbus Ave	(1, 1)
Driggs Ave & Lorimer St	(0, 1)
E 97 St & 3 Ave	(1, 0)
Warren St & Court St	(0, 2)
Park Ave & Marcus Garvey Blvd	(0, 1)
Bedford Ave & Bergen St	(1, 1)
Willoughby Ave & Wyckoff Ave	(0, 1)
Nostrand Ave & Myrtle Ave	(1, 0)
E 128 St & Madison Ave	(0, 3)
Halsey St & Tompkins Ave	(0, 1)
Concord St & Bridge St	(0, 2)
Franklin Ave & Empire Blvd	(1, 0)
24 St & 41 Ave	(1, 0)
Broadway & Moylan Pl	(1, 0)
Pacific St & Classon Ave	(1, 1)
White St & Moore St	(0, 1)
Pulaski St & Marcus Garvey Blvd	(0, 1)
Greene Ave & Nostrand Ave	(1, 0)
Kingston Ave & Herkimer St	(1, 0)
31 St & Broadway	(0, 1)
E 89 St & York Ave	(0, 1)
28 Ave & 35 St	(0, 1)
