Driggs Ave & Lorimer St	(0, 1)
Lexington Ave & Classon Ave	(1, 1)
Pearl St & Anchorage Pl	(3, 4)
3 St & Prospect Park West	(1, 0)
Prospect Park West & 8 St	(3, 0)
Jay St & York St	(1, 2)
Stanton St & Mangin St	(3, 3)
Henry St & Degraw St	(0, 2)
Central Park West & W 68 St	(5, 8)
Graham Ave & Grand St	(2, 1)
5 Ave & 3 St	(3, 1)
University Pl & E 14 St	(7, 5)
W 116 St & Amsterdam Ave	(1, 0)
W 54 St & 9 Ave	(2, 1)
Bergen St & Vanderbilt Ave	(1, 0)
Grand St & Havemeyer St	(1, 1)
Fulton St & Waverly Ave	(3, 3)
Clinton St & Joralemon St	(1, 1)
Greenwich Ave & Charles St	(6, 6)
Clark St & Henry St	(0, 2)
Flushing Ave & Vanderbilt Ave	(1, 1)
Devoe St & Lorimer St	(1, 0)
Van Brunt St & Wolcott St	(1, 1)
W 4 St & 7 Ave S	(8, 2)
Amsterdam Ave & W 66 St	(2, 0)
Lafayette Ave & Classon Ave	(1, 1)
Atlantic Ave & Furman St	(0, 2)
Cedar St & Myrtle Ave	(1, 0)
Market St & Cherry St	(1, 2)
2 Ave & E 99 St	(1, 0)
2 Ave & E 96 St	(1, 1)
Carlton Ave & Flushing Ave	(2, 2)
6 St & 7 Ave	(1, 0)
Plaza St West & Flatbush Ave	(6, 1)
Pacific St & Nevins St	(1, 2)
Irving Ave & Jefferson St	(0, 2)
E 68 St & Madison Ave	(0, 1)
E 102 St & 1 Ave	(1, 0)
India St & West St	(1, 0)
3 Ave & E 72 St	(1, 2)
E 65 St & 2 Ave	(0, 3)
E 10 St & 5 Ave	(3, 3)
Henry St & Middagh St	(0, 1)
State St & Smith St	(2, 1)
Greene Av & Myrtle Av	(0, 2)
Pike St & Monroe St	(3, 0)
W 120 St & Claremont Ave	(1, 1)
Riverside Dr & W 91 St	(2, 2)
S Portland Ave & Hanson Pl	(1, 0)
Lenox Ave & W 117 St	(1, 0)
McKibbin St & Bogart St	(1, 1)
Atlantic Ave & Fort Greene Pl	(2, 5)
Willoughby Ave & Tompkins Ave	(1, 0)
Madison St & Montgomery St	(1, 2)
9 Ave & W 28 St	(2, 5)
Madison Ave & E 82 St	(3, 0)
Sterling Pl & Bedford Ave	(0, 1)
8 Ave & W 52 St	(1, 4)
E 93 St & 2 Ave	(0, 1)
Center Blvd & 51 Ave	(1, 2)
E 74 St & 1 Ave	(4, 2)
E 60 St & York Ave	(0, 1)
Degraw St & Smith St	(1, 0)
St James Pl & Pearl St	(1, 2)
West Drive & Prospect Park West	(2, 1)
5 Ave & E 63 St	(2, 2)
Avenue D & E 8 St	(2, 1)
Front St & Gold St	(1, 2)
Columbia St & Degraw St	(0, 2)
W 76 St & Columbus Ave	(2, 4)
28 St & 41 Ave	(1, 0)
Jackson Ave & 46 Rd	(1, 1)
Marcus Garvey Blvd & Macon St	(0, 1)
W 113 St & Broadway	(1, 0)
Pierrepont St & Monroe Pl	(1, 0)
Carroll St & 6 Ave	(1, 0)
Van Brunt St & Van Dyke St	(0, 1)
W 100 St & Broadway	(1, 3)
Underhill Ave & Lincoln Pl	(2, 2)
Park Ave & Marcus Garvey Blvd	(1, 0)
28 St & 38 Ave	(0, 2)
Myrtle Ave & St Edwards St	(1, 2)
44 Dr & Jackson Ave	(1, 0)
Congress St & Clinton St	(1, 1)
Carlton Ave & Dean St	(0, 1)
Bedford Ave & S 9 St	(0, 1)
21 St & 38 Ave	(1, 0)
5 Ave & E 88 St	(1, 3)
Carroll St & Columbia St	(1, 0)
2 Ave & 9 St	(0, 1)
Lexington Ave & E 63 St	(0, 1)
Schermerhorn St & Court St	(0, 2)
St Nicholas Ave & Manhattan Ave	(0, 2)
