44 Dr & 21 St	(1, 0)
W 100 St & Manhattan Ave	(1, 1)
Broadway & W 29 St	(4, 5)
Pike St & Monroe St	(3, 3)
E 41 St & Madison Ave	(3, 3)
West End Ave & W 94 St	(1, 3)
Union St & 4 Ave	(1, 0)
Fulton St & Clermont Ave	(0, 1)
Adam Clayton Powell Blvd & W 123 St	(1, 0)
Lewis Ave & Madison St	(1, 2)
W 44 St & 5 Ave	(1, 0)
Frederick Douglass Blvd & W 112 St	(2, 0)
Hancock St & Bedford Ave	(1, 0)
5 Ave & E 93 St	(1, 2)
W 87 St & Amsterdam Ave	(0, 1)
Columbus Ave & W 72 St	(6, 3)
Stagg St & Morgan Ave	(0, 1)
Franklin Ave & St Marks Ave	(1, 3)
E 118 St & 1 Ave	(0, 1)
5 St & Market St	(1, 0)
Pierrepont St & Monroe Pl	(1, 1)
W 74 St & Columbus Ave	(2, 0)
Bialystoker Pl & Delancey St	(2, 1)
Grand Army Plaza & Plaza St West	(1, 1)
Berry St & N 8 St	(2, 1)
Kosciuszko St & Nostrand Ave	(1, 0)
Vernon Blvd & 31 Ave	(1, 0)
Eastern Pkwy & Washington Ave	(2, 4)
Carlton Ave & Flushing Ave	(3, 1)
E 11 St & Avenue B	(3, 2)
E 84 St & Park Ave	(4, 1)
6 Ave & 9 St	(1, 0)
Carroll St & Washington Ave	(1, 2)
Broadway & W 37 St	(4, 3)
Knickerbocker Ave & Thames St	(0, 4)
Kane St & Clinton St	(1, 1)
2 Ave & E 96 St	(1, 2)
Monroe St & Classon Ave	(0, 3)
Avenue C & E 18 St	(3, 3)
10 St & 2 Ave	(2, 0)
Central Park West & W 100 St	(3, 2)
Vernon Blvd & 41 Rd	(1, 0)
President St & Henry St	(0, 1)
Nassau St & Navy St	(1, 4)
Centre St & Worth St	(4, 2)
Franklin Ave & Myrtle Ave	(1, 0)
Willoughby Ave & Tompkins Ave	(0, 2)
Clinton St & 4 Place	(1, 1)
Commerce St & Van Brunt St	(0, 1)
Coffey St & Conover St	(0, 1)
Astoria Park S & Shore Blvd	(2, 0)
Baltic St & 5 Ave	(1, 0)
Bedford Ave & Bergen St	(3, 4)
East End Ave & E 86 St	(2, 1)
Henry St & Middagh St	(3, 4)
E 88 St & Park Ave	(2, 0)
Carroll St & 6 Ave	(0, 1)
31 St & Northern Blvd	(0, 1)
S 4 St & Rodney St	(1, 0)
Jackson Ave & 46 Rd	(1, 0)
Lafayette Ave & Classon Ave	(0, 1)
McKibbin St & Manhattan Ave	(1, 0)
Columbia St & Rivington St	(2, 0)
E 55 St & Lexington Ave	(1, 1)
Vernon Blvd & 10 St	(1, 0)
Reade St & Broadway	(2, 4)
Rogers Ave & Sterling St	(0, 1)
Lewis Ave & Kosciuszko St	(0, 2)
Banker St & Meserole Ave	(2, 2)
6 Ave & 12 St	(0, 1)
