Kingston Ave & Herkimer St	(1, 0)
2 Ave & E 104 St	(1, 0)
Eckford St & Engert Ave	(1, 0)
Willoughby Ave & Tompkins Ave	(0, 1)
St Nicholas Ave & Manhattan Ave	(0, 1)
Park Pl & Franklin Ave	(1, 0)
Tompkins Ave & Hopkins St	(0, 1)
7 St & 3 Ave	(0, 1)
Bayard St & Leonard St	(3, 4)
St. Nicholas Ave & W 126 St	(2, 0)
W 89 St & Columbus Ave	(1, 2)
Commerce St & Van Brunt St	(1, 0)
E 97 St & Madison Ave	(0, 1)
35 Ave & 37 St	(1, 0)
Boerum St & Broadway	(1, 0)
Wyckoff St & 3 Ave	(1, 0)
Carroll St & Columbia St	(0, 1)
12 St & 4 Ave	(1, 0)
Newton Rd & 44 St	(0, 1)
Lorimer St & Broadway	(0, 1)
Union St & Nevins St	(2, 1)
4 Ave & 9 St	(0, 1)
Powers St & Olive St	(0, 1)
21 St & 43 Ave	(2, 0)
31 St & 23 Ave	(0, 1)
48 Ave & 30 Pl	(0, 1)
31 Ave & 30 St	(0, 1)
Jackson Ave & 46 Rd	(0, 1)
Clinton St & 4 Place	(0, 2)
Mt Morris Park W & W 120 St	(2, 0)
