Willoughby Ave & Tompkins Ave	(1, 2)
Myrtle Ave & St Edwards St	(0, 3)
Van Brunt St & Wolcott St	(1, 1)
E 89 St & 3 Ave	(3, 5)
Sterling St & Bedford Ave	(0, 1)
Jay St & Tech Pl	(2, 3)
Park Ave & St Edwards St	(1, 0)
E 32 St & Park Ave	(5, 2)
14 St & 5 Ave	(2, 0)
Stuyvesant Walk & 1 Av Loop	(2, 0)
E 106 St & 1 Ave	(0, 1)
E 47 St & 2 Ave	(0, 4)
Eckford St & Engert Ave	(3, 3)
W 37 St & 5 Ave	(0, 2)
DeKalb Ave & Franklin Ave	(2, 0)
5 St & 51 Ave	(3, 2)
Bond St & Bergen St	(0, 2)
Atlantic Ave & Fort Greene Pl	(1, 6)
Union Ave & Wallabout St	(1, 0)
31 St & Thomson Ave	(5, 0)
Central Park West & W 76 St	(2, 1)
Park Ave & E 124 St	(0, 2)
Pike St & Monroe St	(2, 5)
11 Ave & W 41 St	(3, 6)
E 66 St & Madison Ave	(0, 3)
Madison Ave & E 82 St	(3, 0)
Front St & Maiden Ln	(6, 2)
W 100 St & Broadway	(1, 1)
Bialystoker Pl & Delancey St	(0, 2)
Knickerbocker Ave & George St	(1, 1)
Dock 72 Way & Market St	(1, 1)
Boerum St & Broadway	(0, 2)
Clinton Ave & Flushing Ave	(2, 0)
W 88 St & West End Ave	(3, 1)
W 95 St & Broadway	(2, 2)
Lafayette Ave & Classon Ave	(0, 1)
Lexington Ave & E 36 St	(0, 2)
Congress St & Clinton St	(2, 0)
E 85 St & York Ave	(1, 4)
E 68 St & Madison Ave	(1, 2)
E 43 St & 5 Ave	(1, 0)
Douglass St & 4 Ave	(1, 1)
Monroe St & Bedford Ave	(1, 1)
Kent Ave & S 11 St	(2, 5)
Bergen St & Flatbush Ave	(2, 4)
E 55 St & Lexington Ave	(4, 1)
West End Ave & W 107 St	(0, 2)
Clinton St & 4 Place	(1, 2)
Carroll St & Columbia St	(1, 0)
E 60 St & York Ave	(6, 2)
2 Ave & 36 St - Citi Bike HQ at Industry City	(1, 0)
Pleasant Ave & E 116 St	(0, 2)
E 78 St & 2 Ave	(2, 2)
Pershing Square South	(6, 0)
E 67 St & Park Ave	(1, 0)
Jackson St & Leonard St	(1, 0)
Old Slip & Front St	(6, 2)
Graham Ave & Grand St	(1, 3)
W 47 St & 10 Ave	(3, 3)
2 Ave & E 96 St	(2, 3)
St Johns Pl & Washington Ave	(3, 1)
Myrtle Ave & Marcy Ave	(2, 0)
Berkeley Pl & 6 Ave	(2, 0)
Bedford Ave & Bergen St	(2, 1)
Degraw St & Smith St	(3, 1)
3 Ave & E 95 St	(0, 3)
E 97 St & Madison Ave	(2, 0)
Lefferts Pl & Franklin Ave	(0, 2)
W 84 St & Broadway	(1, 2)
Jackson Ave & 46 Rd	(0, 1)
5 Ave & 3 St	(0, 1)
Broadway & W 53 St	(3, 3)
34 Ave & 13 St	(0, 1)
Union St & Nevins St	(3, 1)
Court St & Nelson St	(2, 1)
Wyckoff Av & Jefferson St	(3, 0)
Wolcott St & Dwight St	(1, 0)
Knickerbocker Ave & Thames St	(0, 1)
35 St & 34 Ave	(0, 1)
Frost St & Meeker Ave	(1, 1)
Schermerhorn St & Court St	(1, 1)
28 Ave & 35 St	(1, 0)
Douglass St & 3 Ave	(1, 1)
24 Ave & 29 St	(0, 1)
E 25 St & 1 Ave	(0, 2)
DeKalb Ave & Vanderbilt Ave	(0, 1)
43 St & Broadway	(0, 1)
Monroe St & Classon Ave	(2, 0)
Hancock St & Bedford Ave	(1, 1)
W 84 St & Columbus Ave	(2, 2)
Myrtle Ave & Lewis Ave	(0, 1)
