Fulton St & Utica Ave	(1, 2)
Fulton St & Grand Ave	(4, 0)
E 5 St & Avenue C	(6, 2)
Franklin Ave & Myrtle Ave	(3, 2)
Prospect Pl & 6 Ave	(3, 2)
Gansevoort St & Hudson St	(9, 7)
N 12 St & Bedford Ave	(1, 2)
Lafayette Ave & Fort Greene Pl	(5, 6)
West End Ave & W 107 St	(1, 1)
Amsterdam Ave & W 119 St	(1, 0)
W 116 St & Broadway	(4, 1)
W 18 St & 9 Ave	(6, 4)
Reade St & Broadway	(1, 8)
Park Pl & Vanderbilt Ave	(5, 3)
5 Ave & 3 St	(3, 2)
Clinton St & 4 Place	(1, 1)
1 Ave & E 44 St	(9, 7)
W 110 St & Amsterdam Ave	(1, 1)
E 10 St & Avenue A	(11, 9)
E 48 St & 3 Ave	(6, 3)
1 Pl & Clinton St	(1, 0)
Carroll St & Smith St	(3, 1)
3 St & Prospect Park West	(1, 1)
47 Ave & 31 St	(2, 2)
Vernon Blvd & 31 Ave	(1, 1)
W 92 St & Broadway	(2, 3)
W 20 St & 8 Ave	(5, 6)
E 84 St & 3 Ave	(7, 8)
Clermont Ave & Park Ave	(1, 1)
5 Ave & E 88 St	(2, 3)
W 76 St & Columbus Ave	(1, 1)
Waterbury St & Stagg St	(0, 1)
Broadway & W 37 St	(8, 8)
Broadway & Moylan Pl	(2, 2)
Fulton St & Rockwell Pl	(5, 2)
6 Ave & 12 St	(1, 0)
Union St & 4 Ave	(0, 4)
Bergen St & Smith St	(4, 3)
President St & Henry St	(2, 3)
Coffey St & Conover St	(1, 1)
W 59 St & 10 Ave	(1, 6)
E 51 St & 1 Ave	(3, 4)
Smith St & 3 St	(1, 0)
S Portland Ave & Hanson Pl	(4, 0)
Dean St & Hoyt St	(4, 1)
Pacific St & Nevins St	(1, 1)
Broadway & W 29 St	(9, 6)
2 Ave & E 122 St	(0, 1)
E 16 St & 5 Ave	(9, 7)
Madison St & Clinton St	(5, 3)
Pulaski St & Marcus Garvey Blvd	(1, 1)
Berry St & N 8 St	(1, 1)
Pierrepont St & Monroe Pl	(1, 0)
1 Ave & E 94 St	(1, 2)
Albany Ave & Fulton St	(1, 0)
St James Pl & Pearl St	(0, 1)
Riverside Dr & W 78 St	(5, 3)
South St & Whitehall St	(3, 7)
Avenue D & E 8 St	(3, 2)
Pearl St & Hanover Square	(9, 2)
Old Fulton St	(0, 1)
2 Ave & 9 St	(0, 1)
Mercer St & Spring St	(9, 6)
DeKalb Ave & S Portland Ave	(3, 1)
Driggs Ave & N 9 St	(4, 1)
Catherine St & Monroe St	(1, 1)
Macon St & Nostrand Ave	(1, 0)
Cumberland St & Lafayette Ave	(3, 1)
E 102 St & 1 Ave	(1, 1)
MacDougal St & Washington Sq	(4, 10)
Berkeley Pl & 6 Ave	(2, 0)
21 St & Queens Plaza North	(1, 1)
6 St & 7 Ave	(1, 0)
E 67 St & Park Ave	(1, 3)
Congress St & Clinton St	(4, 1)
Flushing Ave & Vanderbilt Ave	(0, 1)
21 St & 43 Ave	(3, 1)
Garfield Pl & 8 Ave	(0, 1)
Hope St & Union Ave	(2, 2)
E 53 St & Madison Ave	(10, 4)
Metropolitan Ave & Meeker Ave	(5, 1)
6 Ave & 9 St	(1, 1)
Clinton Ave & Flushing Ave	(0, 4)
Prospect Park West & 8 St	(0, 3)
Degraw St & Smith St	(3, 0)
E 88 St & 1 Ave	(2, 6)
Stanton St & Mangin St	(2, 1)
Greene Av & Myrtle Av	(1, 0)
Graham Ave & Herbert St	(1, 1)
Metropolitan Ave & Bedford Ave	(3, 3)
Grand St & Havemeyer St	(5, 2)
Pershing Square South	(7, 4)
Carlton Ave & Park Ave	(0, 2)
Myrtle Ave & St Edwards St	(1, 1)
Leonard St & Boerum St	(2, 1)
Central Park West & W 85 St	(0, 3)
E 68 St & Madison Ave	(0, 2)
Nassau Ave & Newell St	(2, 6)
Kent Ave & S 11 St	(5, 3)
Union Ave & Jackson St	(0, 1)
Monroe St & Tompkins Ave	(2, 1)
Queens Plaza North & Crescent St	(0, 1)
E 55 St & 2 Ave	(5, 4)
Nassau St & Navy St	(0, 1)
W 104 St & Amsterdam Ave	(1, 1)
Court St & State St	(1, 6)
Eckford St & Engert Ave	(3, 4)
3 Ave & E 71 St	(1, 1)
Central Park West & W 102 St	(1, 0)
Willoughby Ave & Walworth St	(1, 1)
Lewis Ave & Madison St	(1, 0)
