W 92 St & Broadway	(3, 1)
W 89 St & Columbus Ave	(3, 1)
W 11 St & 6 Ave	(7, 7)
Myrtle Ave & Marcy Ave	(2, 1)
Metropolitan Ave & Bedford Ave	(10, 2)
W 84 St & Broadway	(5, 2)
Garfield Pl & 8 Ave	(1, 0)
Central Park West & W 76 St	(4, 3)
Broadway & W 56 St	(6, 4)
Lincoln Pl & Classon Ave	(2, 0)
Mercer St & Bleecker St	(12, 8)
E 27 St & 1 Ave	(5, 7)
9 Ave & W 28 St	(5, 6)
E 43 St & 5 Ave	(2, 1)
Pershing Square South	(5, 3)
3 St & Hoyt St	(1, 1)
8 Ave & W 52 St	(4, 3)
W 16 St & The High Line	(4, 15)
Greenwich Ave & 8 Ave	(7, 7)
W 27 St & 7 Ave	(6, 2)
South St & Gouverneur Ln	(5, 9)
Duffield St & Willoughby St	(4, 4)
Dean St & Franklin Ave	(1, 2)
Hicks St & Montague St	(3, 1)
E 13 St & Avenue A	(12, 17)
E 60 St & York Ave	(4, 0)
Kosciuszko St & Nostrand Ave	(2, 2)
Madison St & Clinton St	(8, 8)
E 55 St & 3 Ave	(3, 1)
South St & Whitehall St	(5, 5)
Rivington St & Ridge St	(3, 7)
10 Hudson Yards	(3, 3)
Wyckoff St & 3 Ave	(2, 0)
Lexington Ave & E 36 St	(0, 5)
Lexington Ave & E 63 St	(2, 2)
Wythe Ave & Metropolitan Ave	(8, 11)
E 82 St & East End Ave	(4, 2)
E 20 St & 2 Ave	(9, 2)
W 15 St & 7 Ave	(9, 4)
Broadway & Battery Pl	(8, 3)
Washington St & Gansevoort St	(9, 12)
1 Ave & E 44 St	(2, 2)
W 20 St & 8 Ave	(8, 17)
Grand Army Plaza & Plaza St West	(5, 2)
E 41 St & Madison Ave	(5, 3)
Washington Ave & Greene Ave	(3, 3)
FDR Drive & E 35 St	(6, 10)
West St & Chambers St	(20, 25)
Center Blvd & 51 Ave	(4, 0)
E 33 St & 5 Ave	(5, 9)
Pitt St & Stanton St	(0, 2)
Gansevoort St & Hudson St	(11, 9)
Pearl St & Anchorage Pl	(4, 3)
5 Ave & E 73 St	(17, 6)
E 53 St & 3 Ave	(5, 3)
Madison Ave & E 82 St	(3, 5)
Old Fulton St	(3, 2)
N 12 St & Bedford Ave	(2, 0)
Butler St & Court St	(1, 1)
Graham Ave & Conselyea St	(2, 1)
W 49 St & 8 Ave	(3, 8)
Scholes St & Manhattan Ave	(3, 4)
Nassau Ave & Newell St	(4, 4)
Stanton St & Mangin St	(1, 9)
Kane St & Clinton St	(3, 1)
