18138	(2895, 3)
35116	(1235, 2)
17486	(1023, 2)
20584	(1425, 2)
31362	(2831, 2)
30681	(2929, 4)
34140	(2144, 2)
30966	(2587, 2)
34940	(1427, 3)
35246	(582, 2)
16561	(847, 1)
34055	(6688, 6)
28856	(621, 2)
15842	(372, 2)
26809	(2542, 2)
34820	(2901, 2)
18996	(1664, 1)
27652	(2038, 1)
31198	(368, 1)
29364	(3371, 3)
31983	(722, 2)
25377	(2633, 4)
33758	(1700, 3)
20895	(2465, 2)
33849	(880, 2)
31091	(1678, 2)
30885	(1043, 2)
35314	(493, 2)
32280	(1577, 2)
35048	(390, 2)
18950	(1784, 2)
15126	(1074, 1)
32983	(1939, 2)
33005	(2310, 4)
25082	(202, 1)
34344	(4141, 6)
18878	(3597, 4)
30406	(2660, 4)
33784	(1273, 2)
30269	(1661, 2)
34071	(2394, 3)
21468	(535, 2)
32826	(2407, 4)
15350	(1381, 3)
15686	(1123, 2)
19413	(3727, 2)
34302	(637, 2)
30667	(647, 2)
35312	(4075, 4)
30777	(6489, 5)
20358	(1099, 1)
17061	(883, 1)
28181	(2041, 3)
16765	(473, 1)
27422	(627, 2)
32668	(486, 2)
30501	(2178, 3)
18891	(2904, 3)
33407	(613, 2)
33060	(2869, 5)
32552	(2108, 4)
30369	(733, 2)
34158	(2626, 2)
17876	(283, 1)
35235	(2330, 4)
33145	(4705, 3)
33582	(621, 1)
20006	(1989, 2)
33695	(2781, 4)
32806	(829, 3)
32863	(979, 2)
18389	(5714, 5)
15318	(849, 2)
19895	(911, 2)
30371	(2377, 3)
33829	(3329, 3)
25060	(1580, 2)
29935	(1276, 1)
30415	(1215, 2)
30022	(3854, 3)
15970	(7781, 4)
31552	(2992, 3)
32545	(2490, 3)
35173	(7148, 7)
33826	(1991, 4)
25349	(2996, 2)
17466	(1264, 1)
28907	(3650, 5)
33131	(1223, 2)
19454	(525, 1)
25640	(2266, 3)
27751	(3078, 2)
33436	(927, 1)
31318	(1854, 4)
34074	(612, 2)
18687	(2054, 2)
33880	(2873, 3)
31652	(668, 2)
17785	(1380, 2)
18654	(956, 2)
26870	(1594, 2)
26346	(4116, 6)
27178	(748, 1)
30593	(2904, 4)
34338	(5297, 3)
14947	(273, 1)
16966	(9955, 8)
30900	(805, 2)
35381	(3067, 4)
27248	(2482, 2)
