Degraw St & Smith St	(2, 4)
Cadman Plaza E & Johnson St	(1, 1)
E 82 St & East End Ave	(2, 3)
Columbia St & Degraw St	(1, 4)
Hanson Pl & Ashland Pl	(6, 4)
Old Slip & Front St	(3, 3)
Clinton St & 4 Place	(1, 0)
Norfolk St & Broome St	(7, 5)
N 15 St & Wythe Ave	(1, 3)
Pike St & E Broadway	(8, 7)
W 33 St & 7 Ave	(15, 5)
Cambridge Pl & Gates Ave	(2, 0)
Fulton St & Waverly Ave	(2, 4)
Lafayette Ave & St James Pl	(2, 4)
E 10 St & 5 Ave	(4, 6)
Bushwick Ave & Powers St	(3, 1)
W 38 St & 8 Ave	(5, 7)
Bergen St & Flatbush Ave	(1, 2)
Mott St & Prince St	(11, 9)
E 67 St & Park Ave	(0, 2)
Central Park North & Adam Clayton Powell Blvd	(0, 1)
W 37 St & 10 Ave	(6, 6)
Canal St & Rutgers St	(10, 8)
Cumberland St & Lafayette Ave	(4, 4)
Clinton St & Joralemon St	(1, 2)
Dean St & 4 Ave	(3, 4)
Eckford St & Engert Ave	(1, 0)
Lafayette Ave & Fort Greene Pl	(3, 5)
Gansevoort St & Hudson St	(7, 3)
Bus Slip & State St	(5, 8)
Murray St & Greenwich St	(9, 12)
3 St & Prospect Park West	(2, 2)
27 St & Hunter St	(2, 0)
Schermerhorn St & Bond St	(2, 2)
Warren St & Court St	(2, 1)
Clark St & Henry St	(7, 5)
5 Ave & 3 St	(0, 2)
E 55 St & 2 Ave	(9, 6)
President St & Henry St	(2, 1)
W 56 St & 10 Ave	(5, 3)
Madison Ave & E 82 St	(2, 2)
Bergen St & Vanderbilt Ave	(2, 2)
Washington Ave & Park Ave	(2, 5)
E 31 St & 3 Ave	(4, 5)
Vernon Blvd & 10 St	(2, 1)
Madison St & Clinton St	(3, 4)
DeKalb Ave & Franklin Ave	(3, 0)
E 84 St & Park Ave	(2, 5)
Lexington Ave & Classon Ave	(2, 3)
Kent Ave & N 7 St	(5, 9)
Maiden Ln & Pearl St	(4, 3)
45 Rd & 11 St	(2, 1)
9 St & 44 Rd	(2, 3)
Greenpoint Ave & Manhattan Ave	(1, 4)
E 103 St & Lexington Ave	(2, 1)
W 120 St & Claremont Ave	(1, 1)
Washington Pl & 6 Ave	(5, 6)
Washington St & Gansevoort St	(6, 16)
W 35 St & Dyer Ave	(4, 3)
48 Ave & 30 Pl	(0, 1)
Perry St & Bleecker St	(11, 9)
Central Park West & W 100 St	(0, 1)
Steinway St & 28 Ave	(2, 0)
Clinton St & Grand St	(4, 8)
W 22 St & 10 Ave	(5, 14)
31 St & 23 Ave	(1, 0)
Avenue D & E 12 St	(3, 6)
5 Ave & E 73 St	(4, 8)
Flushing Ave & Vanderbilt Ave	(6, 3)
14 St & 7 Ave	(4, 2)
Carroll St & 6 Ave	(1, 2)
Berkeley Pl & 7 Ave	(1, 2)
9 Ave & W 45 St	(7, 5)
Kent Ave & S 11 St	(5, 4)
3 St & Hoyt St	(3, 3)
W 26 St & 8 Ave	(2, 4)
5 St & 6 Ave	(1, 0)
E 76 St & Park Ave	(2, 1)
E 52 St & 2 Ave	(7, 1)
Bayard St & Leonard St	(4, 0)
Columbus Ave & W 72 St	(6, 5)
Garfield Pl & 8 Ave	(2, 0)
5 Ave & E 126 St	(1, 0)
36 Ave & 31 St	(0, 1)
Nassau Ave & Newell St	(3, 7)
E 88 St & Park Ave	(3, 0)
W 52 St & 6 Ave	(7, 7)
Powers St & Olive St	(1, 0)
W 100 St & Broadway	(1, 1)
W 89 St & Columbus Ave	(0, 3)
W 63 St & Broadway	(5, 2)
Columbus Ave & W 103 St	(1, 0)
Central Park West & W 85 St	(1, 0)
W 20 St & 8 Ave	(4, 3)
University Pl & E 8 St	(5, 5)
E 58 St &  1 Ave (NW Corner)	(2, 5)
E 58 St & 1 Ave (NE Corner)	(0, 4)
E 68 St & Madison Ave	(0, 2)
3 Ave & E 100 St	(1, 2)
Union Ave & Jackson St	(1, 0)
Prospect Pl & 6 Ave	(0, 2)
Macon St & Nostrand Ave	(3, 1)
7 St & 5 Ave	(0, 1)
Bialystoker Pl & Delancey St	(0, 1)
Union St & Bedford Ave	(1, 0)
Madison St & Montgomery St	(2, 7)
Grand Army Plaza & Central Park S	(4, 2)
W 100 St & Manhattan Ave	(0, 1)
N 12 St & Bedford Ave	(3, 4)
Richardson St & N Henry St	(0, 1)
Broadway & Roebling St	(2, 2)
Nostrand Ave & Myrtle Ave	(0, 1)
Prospect Pl & Underhill Ave	(2, 1)
3 Ave & 14 St	(0, 2)
47 Ave & 31 St	(1, 1)
Grand St & Havemeyer St	(0, 3)
E 11 St & 2 Ave	(9, 5)
Franklin Ave & Empire Blvd	(2, 2)
West Drive & Prospect Park West	(3, 2)
Hicks St & Montague St	(0, 5)
Henry St & Degraw St	(0, 5)
Leonard St & Nassau Ave	(1, 2)
East End Ave & E 86 St	(0, 3)
6 Ave & 9 St	(0, 2)
E 53 St & Madison Ave	(4, 1)
W 87 St & Amsterdam Ave	(2, 0)
W 54 St & 9 Ave	(9, 5)
9 Ave & W 28 St	(0, 5)
E 97 St & Madison Ave	(1, 1)
McKibbin St & Bogart St	(0, 2)
Fulton St & Grand Ave	(0, 1)
Crescent St & Broadway	(0, 2)
Pike St & Monroe St	(2, 1)
44 Dr & 21 St	(1, 0)
McKibbin St & Manhattan Ave	(3, 0)
Rivington St & Ridge St	(2, 4)
5 Ave & E 103 St	(1, 0)
Riverside Dr & W 91 St	(2, 4)
Baltic St & 5 Ave	(0, 1)
St James Pl & Pearl St	(3, 1)
W 37 St & 5 Ave	(1, 4)
2 Ave & E 96 St	(0, 2)
West End Ave & W 107 St	(0, 1)
Berry St & N 8 St	(1, 2)
Franklin Ave & Myrtle Ave	(1, 1)
3 Ave & Schermerhorn St	(0, 6)
Kane St & Clinton St	(1, 1)
Frederick Douglass Blvd & W 115 St	(1, 0)
Carroll St & Columbia St	(0, 1)
3 Ave & Carroll St	(1, 1)
W 106 St & Central Park West	(0, 1)
E 60 St & York Ave	(1, 0)
Union Ave & Wallabout St	(1, 0)
Union St & Nevins St	(0, 1)
Graham Ave & Conselyea St	(2, 1)
2 Ave & E 99 St	(0, 2)
Lewis Ave & Madison St	(1, 0)
Marcy Ave & Lafayette Ave	(0, 1)
Grand Ave & Bergen St	(1, 1)
Sharon St & Olive St	(1, 2)
E 68 St & 3 Ave	(0, 1)
Greene Ave & Nostrand Ave	(1, 2)
2 Ave & E 104 St	(0, 1)
Pitt St & Stanton St	(0, 1)
28 St & 38 Ave	(0, 1)
10 St & 7 Ave	(1, 2)
Pierrepont St & Monroe Pl	(1, 0)
Center Blvd & 51 Ave	(0, 2)
W 82 St & Central Park West	(0, 2)
Hope St & Union Ave	(3, 1)
Underhill Ave & Lincoln Pl	(0, 2)
Old Fulton St	(2, 3)
14 St & 5 Ave	(0, 2)
2 Ave & 36 St - Citi Bike HQ at Industry City	(1, 1)
Cathedral Pkwy & Broadway	(1, 1)
Frederick Douglass Blvd & W 112 St	(1, 1)
E 110 St & Madison Ave	(1, 0)
36 Ave & 10 St	(0, 1)
Laight St & Hudson St	(3, 1)
Central Park W & W 96 St	(0, 1)
40 Ave & 9 St	(2, 0)
