DeKalb Ave & Franklin Ave	(2, 1)
Pioneer St & Richards St	(2, 1)
Centre St & Worth St	(2, 1)
Henry St & Degraw St	(2, 2)
Grand St & Havemeyer St	(5, 2)
W 116 St & Broadway	(1, 2)
Eastern Pkwy & Washington Ave	(4, 2)
S 5 Pl & S 5 St	(4, 5)
E 89 St & 3 Ave	(2, 2)
Watts St & Greenwich St	(6, 4)
10 St & 5 Ave	(0, 3)
Jay St & York St	(0, 2)
Dean St & 4 Ave	(0, 2)
Leonard St & Nassau Ave	(5, 4)
Gansevoort St & Hudson St	(4, 4)
Cumberland St & Lafayette Ave	(4, 3)
E 32 St & Park Ave	(2, 5)
Duffield St & Willoughby St	(2, 1)
E 102 St & Park Ave	(1, 0)
1 Ave & E 44 St	(4, 7)
Carroll St & 6 Ave	(2, 2)
Schermerhorn St & Court St	(0, 2)
Scholes St & Manhattan Ave	(4, 2)
E 91 St & 2 Ave	(1, 0)
Front St & Maiden Ln	(6, 7)
E 11 St & Avenue B	(6, 4)
President St & Henry St	(1, 1)
W 20 St & 8 Ave	(8, 3)
Center Blvd & 48 Ave	(2, 0)
Broadway & W 53 St	(2, 2)
Leonard St & Maujer St	(2, 1)
Liberty St & Broadway	(3, 8)
5 Ave & E 93 St	(0, 1)
Lincoln Pl & Classon Ave	(4, 0)
Emerson Pl & Myrtle Ave	(2, 2)
E 60 St & York Ave	(1, 3)
Dean St & Franklin Ave	(1, 0)
E 58 St & 1 Ave (NE Corner)	(3, 1)
W 35 St & Dyer Ave	(1, 2)
Riverside Dr & W 78 St	(6, 2)
W 84 St & Columbus Ave	(2, 2)
Union St & Nevins St	(0, 2)
Park Pl & Church St	(1, 0)
Boerum St & Broadway	(3, 4)
Nassau Ave & Newell St	(1, 2)
Broadway & Moylan Pl	(0, 1)
1 Pl & Clinton St	(1, 0)
9 St & 44 Rd	(2, 0)
W 84 St & Broadway	(1, 4)
Dock 72 Way & Market St	(1, 1)
11 Ave & W 27 St	(14, 6)
Smith St & 9 St	(1, 0)
DeKalb Ave & Vanderbilt Ave	(2, 3)
Cathedral Pkwy & Broadway	(2, 0)
W 90 St & Amsterdam Ave	(0, 1)
27 Ave & 4 St	(1, 0)
Pitt St & Stanton St	(3, 1)
E 43 St & 2 Ave	(0, 2)
2 Ave & E 104 St	(1, 0)
Rivington St & Chrystie St	(3, 7)
E 47 St & 2 Ave	(1, 2)
Center Blvd & 51 Ave	(5, 5)
E 76 St & Park Ave	(2, 0)
Central Park West & W 72 St	(2, 6)
Avenue D & E 12 St	(2, 1)
W 45 St & 6 Ave	(1, 4)
E 118 St & 1 Ave	(2, 2)
5 St & 51 Ave	(1, 1)
Central Park W & W 96 St	(1, 1)
36 Ave & 10 St	(0, 1)
Kent Ave & S 11 St	(2, 0)
W 95 St & Broadway	(1, 0)
Columbia St & Degraw St	(1, 0)
24 St & 41 Ave	(1, 0)
9 Ave & W 45 St	(2, 1)
Macon St & Nostrand Ave	(1, 0)
Washington Ave & Greene Ave	(1, 0)
35 St & 34 Ave	(3, 0)
48 Ave & 5 St	(0, 1)
2 Ave & 36 St - Citi Bike HQ at Industry City	(0, 2)
9 Ave & W 18 St	(4, 0)
Broadway & W 36 St	(5, 2)
Franklin Ave & St Marks Ave	(0, 1)
White St & Moore St	(0, 4)
1 Ave & E 110 St	(0, 1)
Sullivan St & Washington Sq	(6, 4)
2 Ave & E 96 St	(1, 0)
7 St & 3 Ave	(1, 0)
Bushwick Ave & Powers St	(0, 4)
Front St & Gold St	(3, 1)
St James Pl & Pearl St	(2, 0)
Carroll St & Smith St	(2, 3)
Degraw St & Hoyt St	(0, 1)
45 Rd & 11 St	(0, 2)
E 66 St & Madison Ave	(0, 1)
Mt Morris Park W & W 120 St	(0, 3)
E 72 St & Park Ave	(0, 2)
Butler St & Court St	(3, 1)
Myrtle Ave & Lewis Ave	(1, 3)
Lafayette Ave & Classon Ave	(1, 1)
Banker St & Meserole Ave	(0, 1)
Myrtle Ave & St Edwards St	(1, 1)
Bialystoker Pl & Delancey St	(2, 2)
Henry St & Atlantic Ave	(0, 4)
John St & William St	(2, 1)
Stockholm St & Wilson Ave	(1, 0)
Lexington Ave & E 26 St	(3, 1)
Clinton St & Centre St	(0, 2)
Van Brunt St & Wolcott St	(0, 2)
Pioneer St & Van Brunt St	(0, 2)
Montrose Ave & Bushwick Ave	(0, 1)
Division Av & Hooper St	(3, 0)
Central Ave & Flushing Ave	(1, 2)
Baltic St & 5 Ave	(1, 1)
Putnam Ave & Nostrand Ave	(1, 0)
E 109 St & 3 Ave	(1, 0)
Carroll St & Washington Ave	(1, 0)
14 St & 5 Ave	(0, 1)
McKibbin St & Manhattan Ave	(1, 0)
Court St & Nelson St	(0, 1)
Hope St & Union Ave	(3, 0)
Devoe St & Morgan Ave	(1, 0)
S 4 St & Rodney St	(1, 1)
Clinton Ave & Flushing Ave	(0, 1)
W 120 St & Claremont Ave	(4, 0)
Lewis Ave & Decatur St	(0, 1)
3 Ave & Schermerhorn St	(0, 2)
White St & Johnson Ave	(0, 1)
3 Ave & E 72 St	(3, 0)
Fulton St & Grand Ave	(2, 2)
Cambridge Pl & Gates Ave	(0, 1)
Lexington Ave & E 36 St	(1, 2)
31 St & Astoria Blvd	(1, 0)
Humboldt St & Varet St	(0, 1)
Douglass St & 4 Ave	(1, 0)
Carroll St & Bond St	(2, 0)
44 Dr & 21 St	(2, 0)
Stuyvesant Walk & 1 Av Loop	(0, 1)
Willoughby Ave & Wyckoff Ave	(1, 1)
Columbia St & W 9 St	(0, 1)
3 Ave & E 71 St	(2, 0)
Pleasant Ave & E 120 St	(1, 0)
E 114 St & 1 Ave	(0, 1)
E 10 St & 5 Ave	(2, 2)
39 St & 2 Ave - Citi Bike HQ at Industry City	(1, 0)
W 87 St & Amsterdam Ave	(1, 1)
E 53 St & 3 Ave	(0, 1)
West End Ave & W 94 St	(1, 3)
Clark St & Henry St	(1, 0)
Douglass St & 3 Ave	(1, 0)
Eckford St & Engert Ave	(1, 1)
Adam Clayton Powell Blvd & W 126 St	(1, 0)
31 St & Northern Blvd	(0, 1)
36 Ave & 31 St	(1, 0)
37 Ave & 35 St	(0, 2)
Lafayette Ave & St James Pl	(1, 2)
Sullivan Pl & Bedford Ave	(0, 1)
E 53 St & Madison Ave	(1, 0)
6 Ave & 12 St	(0, 1)
W 113 St & Broadway	(0, 1)
Pulaski St & Marcus Garvey Blvd	(0, 1)
Wyckoff Av & Jefferson St	(0, 1)
Carlton Ave & Park Ave	(2, 0)
Park Ave & St Edwards St	(0, 1)
Greene Ave & Throop Ave	(1, 0)
49 Ave & 21 St	(1, 0)
W 104 St & Amsterdam Ave	(0, 1)
Adam Clayton Powell Blvd & W 123 St	(0, 1)
Broadway & W 51 St	(2, 1)
6 St & 7 Ave	(1, 1)
47 Ave & 31 St	(1, 0)
Brooklyn Bridge Park - Pier 2	(0, 2)
Frost St & Meeker Ave	(0, 3)
3 Ave & 14 St	(0, 1)
44 Dr & Jackson Ave	(2, 1)
Prospect Park West & 8 St	(0, 2)
N 11 St & Kent Ave	(3, 2)
Sterling St & Bedford Ave	(1, 0)
Court St & State St	(1, 0)
Greene Av & Myrtle Av	(0, 4)
Jay St & Tech Pl	(0, 4)
Laight St & Hudson St	(1, 0)
E 106 St & Lexington Ave	(0, 1)
Bond St & Bergen St	(0, 1)
Lorimer St & Broadway	(1, 0)
Coffey St & Conover St	(2, 1)
Throop Ave & Myrtle Ave	(0, 1)
E 110 St & Madison Ave	(1, 0)
Queens Plaza North & Crescent St	(1, 1)
E 103 St & Lexington Ave	(0, 1)
Central Park North & Adam Clayton Powell Blvd	(1, 0)
Garfield Pl & 8 Ave	(1, 0)
Division Ave & Marcy Ave	(2, 0)
Hart St & Wyckoff Ave	(0, 1)
Irving Ave & DeKalb Ave	(1, 0)
Pike St & Monroe St	(1, 0)
12 St & 4 Ave	(0, 1)
Sharon St & Olive St	(0, 1)
31 Ave & Crescent St	(0, 1)
Nassau St & Navy St	(1, 0)
Waterbury St & Stagg St	(1, 0)
