Washington Park	(1, 3) 
3 Ave & Carroll St	(0, 1) 
W 87 St & Amsterdam Ave	(5, 1) 
India St & West St	(5, 2) 
E 78 St & 2 Ave	(3, 2) 
W 88 St & West End Ave	(6, 2) 
Franklin Ave & Myrtle Ave	(2, 0) 
W 27 St & 7 Ave	(10, 6) 
W 15 St & 6 Ave	(14, 8) 
Franklin St & W Broadway	(9, 7) 
Van Brunt St & Van Dyke St	(1, 1) 
Greene Av & Myrtle Av	(1, 0) 
Grand Army Plaza & Central Park S	(12, 9) 
E 109 St & 3 Ave	(0, 1) 
Central Ave & Starr Street	(1, 0) 
E 30 St & Park Ave S	(9, 7) 
Kent Ave & S 11 St	(4, 3) 
Lexington Ave & E 63 St	(12, 2) 
Driggs Ave & Lorimer St	(1, 1) 
Pacific St & Classon Ave	(0, 1) 
Carlton Ave & Flushing Ave	(3, 1) 
Hicks St & Montague St	(4, 3) 
Washington Ave & Greene Ave	(3, 1) 
W 38 St & 8 Ave	(11, 20) 
Douglass St & 4 Ave	(2, 1) 
S 3 St & Bedford Ave	(9, 4) 
Pioneer St & Richards St	(1, 0) 
Underhill Ave & Pacific St	(46, 31) 
W 84 St & Columbus Ave	(0, 2) 
East End Ave & E 86 St	(3, 4) 
Cooper Square & Astor Pl	(6, 16) 
Clinton St & Grand St	(8, 11) 
Atlantic Ave & Fort Greene Pl	(3, 4) 
E 20 St & FDR Drive	(16, 30) 
Lincoln Pl & Classon Ave	(2, 2) 
Lafayette Ave & Classon Ave	(2, 1) 
7 Ave & Park Pl	(9, 8) 
1 Ave & E 78 St	(162, 161) 
36 Ave & 10 St	(1, 0) 
E 41 St & Madison Ave	(3, 4) 
Huron St & Franklin St	(6, 12) 
Pacific St & Nevins St	(0, 1) 
E 20 St & Park Ave	(15, 7) 
W 42 St & Dyer Ave	(8, 5) 
Lafayette Ave & St James Pl	(3, 2) 
E 65 St & 2 Ave	(5, 5) 
Duffield St & Willoughby St	(7, 10) 
E 81 St & 3 Ave	(4, 6) 
Maiden Ln & Pearl St	(9, 16) 
John St & William St	(6, 8) 
10 St & 7 Ave	(1, 1) 
Murray St & West St	(129, 132) 
9 Ave & W 28 St	(8, 7) 
W 104 St & Amsterdam Ave	(0, 2) 
9 Ave & W 45 St	(8, 7) 
W 43 St & 10 Ave	(149, 157) 
Cliff St & Fulton St	(11, 11) 
E 2 St & Avenue C	(149, 120) 
Pleasant Ave & E 116 St	(0, 1) 
Frost St & Meeker Ave	(4, 1) 
Union Ave & Jackson St	(2, 2) 
Centre St & Chambers St	(6, 12) 
Stagg St & Union Ave	(2, 2) 
1 Ave & E 62 St	(8, 9) 
Myrtle Ave & St Edwards St	(2, 1) 
44 Dr & Jackson Ave	(3, 4) 
Eckford St & Engert Ave	(0, 1) 
Division Av & Hooper St	(2, 0) 
E 12 St & 3 Ave	(15, 10) 
Degraw St & Smith St	(1, 2) 
Pier 40 - Hudson River Park	(11, 21) 
Lafayette St & E 8 St	(14, 18) 
4 Ave & 9 St	(0, 3) 
Forsyth St & Broome St	(16, 11) 
Nassau Ave & Newell St	(3, 8) 
Cherry St	(10, 5) 
Mercer St & Bleecker St	(14, 10) 
E 39 St & 3 Ave	(11, 10) 
Park Pl & Franklin Ave	(2, 1) 
W 20 St & 8 Ave	(3, 12) 
Broadway & W 56 St	(2, 4) 
Murray St & Greenwich St	(10, 12) 
W 16 St & The High Line	(4, 11) 
Suffolk St & Stanton St	(154, 156) 
E 97 St & Madison Ave	(1, 1) 
Wyckoff St & Bond St	(1, 0) 
14 St & 5 Ave	(2, 3) 
E 2 St & 2 Ave	(14, 10) 
Clinton Ave & Flushing Ave	(6, 1) 
27 St & Hunter St	(1, 0) 
Johnson St & Gold St	(4, 4) 
W 35 St & Dyer Ave	(3, 2) 
Little West St & 1 Pl	(19, 20) 
Pershing Square South	(6, 6) 
Schermerhorn St & Bond St	(1, 3) 
Madison Ave & E 99 St	(1, 1) 
Willoughby Ave & Walworth St	(0, 1) 
Greenwich St & W Houston St	(16, 18) 
E 25 St & 2 Ave	(14, 10) 
3 Ave & E 62 St	(2, 7) 
Liberty St & Broadway	(15, 12) 
Central Park West & W 102 St	(1, 2) 
E 11 St & Avenue B	(9, 9) 
South St & Gouverneur Ln	(13, 9) 
W 92 St & Broadway	(1, 3) 
Columbia St & Degraw St	(0, 1) 
37 Ave & 35 St	(1, 1) 
W 13 St & 7 Ave	(13, 11) 
Avenue D & E 12 St	(2, 2) 
E 23 St & 1 Ave	(202, 205) 
W 25 St & 6 Ave	(6, 5) 
48 Ave & 30 Pl	(0, 1) 
E 11 St & 1 Ave	(218, 234) 
W 4 St & 7 Ave S	(13, 7) 
FDR Drive & E 35 St	(12, 14) 
Butler St & Court St	(2, 2) 
E 10 St & Avenue A	(11, 12) 
Avenue D & E 8 St	(4, 4) 
Central Park W & W 96 St	(3, 1) 
Adelphi St & Myrtle Ave	(2, 2) 
1 Pl & Clinton St	(2, 0) 
Graham Ave & Conselyea St	(0, 3) 
Vernon Blvd & 41 Rd	(0, 1) 
24 Ave & 26 St	(0, 2) 
Fulton St & Grand Ave	(3, 3) 
E 59 St & Madison Ave	(127, 126) 
E 33 St & 5 Ave	(14, 11) 
W 37 St & 10 Ave	(4, 9) 
Madison St & Montgomery St	(3, 3) 
Grand St & Havemeyer St	(4, 3) 
Willoughby Ave & Hall St	(1, 1) 
Grand Ave & Bergen St	(2, 1) 
Dean St & 4 Ave	(3, 3) 
E 9 St & Avenue C	(9, 8) 
Amsterdam Ave & W 66 St	(4, 4) 
6 Ave & 12 St	(2, 3) 
Christopher St & Greenwich St	(23, 21) 
1 Ave & E 30 St	(5, 13) 
Broadway & W 25 St	(16, 14) 
W 11 St & 6 Ave	(1, 2) 
46 Ave & 5 St	(10, 6) 
28 St & 41 Ave	(1, 0) 
Carmine St & 6 Ave	(20, 9) 
DeKalb Ave & Hudson Ave	(4, 5) 
Harrison St & Hudson St	(7, 9) 
2 Ave & E 104 St	(1, 0) 
Metropolitan Ave & Bedford Ave	(2, 2) 
Pike St & E Broadway	(6, 4) 
W 22 St & 8 Ave	(7, 5) 
W 44 St & 5 Ave	(8, 4) 
21 St & Hoyt Ave S	(1, 0) 
E 58 St &  1 Ave (NW Corner)	(2, 6) 
Kent Ave & N 7 St	(10, 11) 
E 5 St & Avenue C	(9, 2) 
Scholes St & Manhattan Ave	(1, 1) 
Bergen St & Vanderbilt Ave	(3, 1) 
S 4 St & Rodney St	(1, 2) 
W 70 St & Amsterdam Ave	(6, 9) 
Wyckoff St & 3 Ave	(1, 0) 
Watts St & Greenwich St	(18, 18) 
3 Ave & E 95 St	(1, 3) 
3 St & 3 Ave	(0, 3) 
Columbus Ave & W 72 St	(5, 4) 
Barclay St & Church St	(19, 12) 
DeKalb Ave & Franklin Ave	(4, 0) 
State St & Smith St	(3, 3) 
12 Ave & W 40 St	(25, 27) 
Prospect Pl & 6 Ave	(2, 2) 
N 12 St & Bedford Ave	(1, 2) 
Powers St & Olive St	(2, 3) 
Madison Ave & E 120 St	(1, 0) 
Railroad Ave & Kay Ave	(1, 1) 
Lafayette Ave & Fort Greene Pl	(3, 3) 
W 46 St & 11 Ave	(9, 5) 
Pierrepont St & Monroe Pl	(0, 3) 
Concord St & Bridge St	(0, 3) 
3 St & Hoyt St	(1, 4) 
Leonard St & Nassau Ave	(2, 7) 
5 Ave & E 103 St	(3, 2) 
W 90 St & Amsterdam Ave	(1, 2) 
Bedford Ave & Bergen St	(5, 7) 
W 64 St & Thelonious Monk Circle	(138, 125) 
Henry St & Atlantic Ave	(3, 4) 
W 15 St & 7 Ave	(18, 6) 
Rivington St & Ridge St	(7, 3) 
Lewis Ave & Madison St	(1, 0) 
E 17 St & Broadway	(35, 26) 
5 Ave & E 93 St	(1, 0) 
3 Ave & Schermerhorn St	(1, 5) 
Allen St & Stanton St	(18, 24) 
W 18 St & 6 Ave	(13, 12) 
Vernon Blvd & 50 Ave	(112, 115) 
Pearl St & Hanover Square	(5, 6) 
Central Park West & W 85 St	(4, 1) 
W 74 St & Columbus Ave	(1, 1) 
Driggs Ave & N Henry St	(2, 5) 
14 St & 7 Ave	(1, 1) 
Centre St & Worth St	(4, 2) 
George St & Wilson Ave	(0, 1) 
1 Ave & E 94 St	(2, 3) 
