E 5 St & Avenue C	(4, 2) 
Scholes St & Manhattan Ave	(2, 0) 
Bergen St & Vanderbilt Ave	(0, 2) 
W 70 St & Amsterdam Ave	(4, 4) 
Wyckoff St & 3 Ave	(1, 1) 
Watts St & Greenwich St	(6, 7) 
3 Ave & E 95 St	(2, 0) 
Barclay St & Church St	(0, 1) 
State St & Smith St	(2, 2) 
12 Ave & W 40 St	(4, 4) 
N 12 St & Bedford Ave	(2, 0) 
Lafayette Ave & Fort Greene Pl	(0, 1) 
W 46 St & 11 Ave	(2, 0) 
Pierrepont St & Monroe Pl	(1, 2) 
3 St & Hoyt St	(0, 1) 
Leonard St & Nassau Ave	(0, 2) 
Bedford Ave & Bergen St	(0, 2) 
W 64 St & Thelonious Monk Circle	(38, 30) 
Rivington St & Ridge St	(4, 2) 
W 15 St & 7 Ave	(2, 4) 
E 17 St & Broadway	(5, 5) 
Allen St & Stanton St	(4, 4) 
W 18 St & 6 Ave	(7, 1) 
Vernon Blvd & 50 Ave	(21, 19) 
Pearl St & Hanover Square	(2, 0) 
Driggs Ave & N Henry St	(1, 1) 
14 St & 7 Ave	(0, 2) 
Centre St & Worth St	(3, 1) 
1 Ave & E 94 St	(1, 0) 
Canal St & Rutgers St	(3, 5) 
Avenue D & E 3 St	(4, 3) 
E 55 St & Lexington Ave	(1, 0) 
Allen St & Hester St	(4, 2) 
MacDougal St & Prince St	(3, 1) 
West Drive & Prospect Park West	(2, 1) 
S 5 Pl & S 5 St	(1, 0) 
E 60 St & York Ave	(2, 1) 
E 20 St & 2 Ave	(0, 3) 
7 St & 5 Ave	(1, 1) 
E 53 St & 3 Ave	(1, 0) 
Central Park West & W 76 St	(2, 0) 
Mott St & Prince St	(4, 9) 
E 58 St & 3 Ave	(3, 2) 
St Marks Pl & 2 Ave	(4, 5) 
Park Ave & E 124 St	(1, 0) 
E 91 St & Park Ave	(0, 1) 
E 81 St & 2 Ave	(2, 3) 
Madison St & Clinton St	(0, 2) 
Atlantic Ave & Furman St	(0, 2) 
Broadway & Battery Pl	(1, 2) 
1 Ave & E 110 St	(1, 1) 
W 54 St & 9 Ave	(2, 1) 
West End Ave & W 94 St	(1, 0) 
W 13 St & 5 Ave	(2, 7) 
Front St & Gold St	(1, 1) 
Underhill Ave & Lincoln Pl	(0, 1) 
E 10 St & 5 Ave	(1, 0) 
E 85 St & York Ave	(0, 1) 
E 77 St & 3 Ave	(2, 3) 
31 Ave & 34 St	(1, 0) 
Riverside Blvd & W 67 St	(4, 4) 
Carroll St & Bond St	(0, 1) 
E 75 St & 3 Ave	(1, 3) 
E 91 St & 2 Ave	(2, 3) 
Bergen St & Flatbush Ave	(1, 0) 
E 33 St & 1 Ave	(2, 2) 
Amsterdam Ave & W 82 St	(0, 1) 
W 49 St & 8 Ave	(3, 2) 
Pitt St & Stanton St	(2, 0) 
DeKalb Ave & Vanderbilt Ave	(1, 1) 
Franklin Ave & St Marks Ave	(0, 1) 
W 89 St & Columbus Ave	(0, 1) 
Broadway & E 14 St	(10, 13) 
Broadway & W 60 St	(7, 5) 
11 Ave & W 41 St	(3, 1) 
E 16 St & 5 Ave	(3, 0) 
Greenwich Ave & Charles St	(2, 4) 
E 11 St & 2 Ave	(1, 2) 
W 16 St & 8 Ave	(1, 2) 
E 98 St & Park Ave	(1, 0) 
Baltic St & 5 Ave	(0, 1) 
10 Hudson Yards	(2, 1) 
N 11 St & Kent Ave	(0, 2) 
W 106 St & Central Park West	(0, 1) 
8 Ave & W 31 St	(3, 2) 
Lawrence St & Willoughby St	(0, 1) 
E 76 St & Park Ave	(1, 0) 
W 56 St & 10 Ave	(1, 2) 
Lefferts Pl & Franklin Ave	(1, 0) 
E 4 St & 2 Ave	(4, 4) 
Sullivan St & Washington Sq	(1, 1) 
Lexington Ave & E 29 St	(1, 0) 
Richardson St & N Henry St	(1, 0) 
Leonard St & Maujer St	(0, 1) 
William St & Pine St	(1, 2) 
Washington St & Gansevoort St	(1, 2) 
Vesey Pl & River Terrace	(30, 30) 
LaGuardia Pl & W 3 St	(5, 4) 
E 51 St & 1 Ave	(1, 0) 
Bergen St & Smith St	(0, 2) 
Great Jones St	(3, 4) 
5 St & 51 Ave	(0, 1) 
Dean St & Franklin Ave	(0, 1) 
