Greenwich St & W Houston St	(8, 16)
Prospect Pl & 6 Ave	(0, 2)
St James Pl & Pearl St	(5, 2)
Bond St & Fulton St	(9, 8)
Dock 72 Way & Market St	(3, 3)
Reade St & Broadway	(5, 11)
Lawrence St & Willoughby St	(5, 9)
E 77 St & 3 Ave	(6, 9)
E 52 St & 2 Ave	(5, 5)
Broadway & W 41 St	(2, 12)
Driggs Ave & N Henry St	(4, 3)
Centre St & Chambers St	(17, 16)
E 11 St & 2 Ave	(8, 8)
Lexington Ave & E 29 St	(4, 6)
5 Ave & E 103 St	(2, 0)
W 15 St & 6 Ave	(8, 5)
Front St & Washington St	(5, 10)
E 41 St & Madison Ave	(7, 5)
Broadway & Roebling St	(2, 3)
E 9 St & Avenue C	(5, 6)
Lexington Ave & E 63 St	(7, 3)
Bayard St & Baxter St	(8, 6)
W 26 St & 10 Ave	(7, 7)
3 Ave & E 95 St	(1, 1)
E 72 St & Park Ave	(3, 3)
5 Ave & E 78 St	(7, 7)
Cadman Plaza E & Red Cross Pl	(8, 4)
Kane St & Clinton St	(3, 0)
Columbia St & Rivington St	(3, 1)
Congress St & Clinton St	(3, 1)
Park Pl & Church St	(5, 4)
9 Ave & W 28 St	(12, 3)
Bialystoker Pl & Delancey St	(2, 1)
Douglass St & 4 Ave	(2, 1)
Johnson St & Gold St	(2, 2)
N 12 St & Bedford Ave	(5, 1)
Washington Park	(1, 1)
Water - Whitehall Plaza	(4, 5)
W 63 St & Broadway	(9, 6)
Centre St & Worth St	(8, 3)
Duffield St & Willoughby St	(3, 2)
3 Ave & Schermerhorn St	(3, 3)
W 59 St & 10 Ave	(7, 3)
Stagg St & Union Ave	(2, 2)
E 2 St & Avenue B	(9, 18)
Scholes St & Manhattan Ave	(2, 1)
Harrison St & Hudson St	(6, 8)
Mercer St & Spring St	(9, 13)
Columbia St & Kane St	(1, 0)
Jay St & York St	(10, 8)
W 20 St & 7 Ave	(6, 6)
E 10 St & Avenue A	(12, 18)
E 66 St & Madison Ave	(0, 1)
Carroll St & Smith St	(3, 1)
E 53 St & 3 Ave	(6, 8)
N 15 St & Wythe Ave	(1, 2)
Myrtle Ave & St Edwards St	(3, 3)
1 Ave & E 44 St	(8, 7)
Clinton Ave & Flushing Ave	(3, 1)
Division St & Bowery	(6, 9)
Eastern Pkwy & Washington Ave	(1, 5)
W 21 St & 6 Ave	(22, 15)
Franklin St & Dupont St	(2, 7)
Willoughby Ave & Hall St	(3, 3)
Leonard St & Nassau Ave	(4, 3)
Pike St & E Broadway	(5, 4)
W 47 St & 10 Ave	(2, 7)
Clinton St & Joralemon St	(2, 0)
Cliff St & Fulton St	(4, 9)
Lenox Ave & W 130 St	(1, 2)
Lincoln Pl & Classon Ave	(1, 1)
Washington Ave & Park Ave	(4, 2)
Van Brunt St & Wolcott St	(1, 2)
3 St & 3 Ave	(2, 1)
Clermont Ave & Park Ave	(0, 2)
E 58 St & 1 Ave (NE Corner)	(3, 0)
Graham Ave & Grand St	(2, 3)
W 13 St & 7 Ave	(9, 6)
West Drive & Prospect Park West	(2, 3)
Washington St & Gansevoort St	(15, 15)
Allen St & Hester St	(6, 4)
Fulton St & Rockwell Pl	(3, 1)
Carroll St & Columbia St	(2, 3)
Union St & 4 Ave	(2, 2)
Nassau St & Navy St	(3, 0)
Union Ave & N 12 St	(2, 2)
E 10 St & 5 Ave	(3, 6)
10 Hudson Yards	(0, 1)
West St & Chambers St	(20, 19)
E 68 St & 3 Ave	(1, 1)
Eckford St & Engert Ave	(2, 0)
Myrtle Ave & Lewis Ave	(2, 0)
Cambridge Pl & Gates Ave	(2, 4)
Sullivan St & Washington Sq	(9, 5)
Front St & Gold St	(1, 1)
Henry St & Atlantic Ave	(3, 3)
E 89 St & 3 Ave	(5, 4)
Berkeley Pl & 7 Ave	(6, 5)
E 91 St & 2 Ave	(2, 5)
Columbus Ave & W 72 St	(7, 7)
Washington Ave & Greene Ave	(2, 1)
Central Park West & W 68 St	(3, 4)
Park Pl & Vanderbilt Ave	(5, 6)
S 5 Pl & S 5 St	(5, 6)
3 Ave & E 62 St	(3, 4)
5 Ave & 3 St	(0, 3)
Frederick Douglass Blvd & W 115 St	(1, 1)
Railroad Ave & Kay Ave	(1, 1)
Madison St & Montgomery St	(2, 4)
2 Ave & E 31 St	(10, 10)
Douglass St & 3 Ave	(2, 2)
W 54 St & 9 Ave	(3, 4)
5 Ave & E 88 St	(4, 6)
W 82 St & Central Park West	(5, 3)
E 16 St & Irving Pl	(8, 4)
Pioneer St & Van Brunt St	(2, 0)
E 85 St & York Ave	(2, 2)
E 6 St & Avenue D	(7, 6)
Avenue D & E 3 St	(4, 7)
E 58 St &  1 Ave (NW Corner)	(3, 5)
Henry St & Grand St	(6, 5)
W 24 St & 7 Ave	(3, 3)
Monroe St & Classon Ave	(2, 0)
W 46 St & 11 Ave	(8, 12)
Fulton St & William St	(6, 3)
8 Ave & W 52 St	(5, 2)
46 Ave & 5 St	(3, 6)
Rivington St & Chrystie St	(14, 10)
Fulton St & Waverly Ave	(3, 4)
3 St & Prospect Park West	(6, 6)
Fulton St & Grand Ave	(1, 1)
E 16 St & 5 Ave	(9, 6)
Cumberland St & Lafayette Ave	(2, 4)
Broadway & W 37 St	(7, 7)
E 88 St & 1 Ave	(2, 12)
Bedford Ave & Nassau Ave	(7, 7)
Central Park West & W 76 St	(0, 2)
Amsterdam Ave & W 66 St	(3, 3)
2 Ave & E 96 St	(2, 3)
E 20 St & Park Ave	(14, 9)
Columbia St & W 9 St	(0, 2)
Court St & State St	(3, 5)
Grand Army Plaza & Plaza St West	(5, 3)
Suydam St & Knickerbocker Ave	(0, 1)
Sterling Pl & Bedford Ave	(2, 1)
Hart St & Wyckoff Ave	(1, 1)
5 St & 51 Ave	(0, 2)
Park Ave & Marcus Garvey Blvd	(1, 1)
DeKalb Ave & Vanderbilt Ave	(4, 2)
Park Ave & E 124 St	(1, 2)
Flushing Ave & Vanderbilt Ave	(2, 4)
Carroll St & Washington Ave	(2, 0)
E 43 St & 2 Ave	(3, 6)
E 102 St & 1 Ave	(1, 2)
Sullivan Pl & Bedford Ave	(0, 1)
McKibbin St & Bogart St	(1, 0)
Nassau Ave & Newell St	(3, 5)
Broadway & W 56 St	(1, 5)
St James Pl & Oliver St	(4, 5)
Franklin Ave & Empire Blvd	(2, 1)
Frederick Douglass Blvd & W 117 St	(1, 2)
Marcy Ave & Lafayette Ave	(1, 2)
Front St & Maiden Ln	(2, 7)
E 89 St & York Ave	(1, 9)
W 89 St & Columbus Ave	(2, 1)
E 84 St & Park Ave	(1, 2)
W 20 St & 8 Ave	(5, 5)
E 74 St & 1 Ave	(4, 5)
6 St & 7 Ave	(1, 0)
South St & Whitehall St	(7, 4)
East End Ave & E 86 St	(1, 6)
Montrose Ave & Bushwick Ave	(1, 4)
5 Ave & E 63 St	(0, 2)
Warren St & Court St	(1, 3)
Plaza St West & Flatbush Ave	(6, 2)
St Johns Pl & Washington Ave	(1, 2)
Central Ave & Flushing Ave	(0, 2)
Dean St & Hoyt St	(0, 1)
E 47 St & 1 Ave	(5, 3)
Duane St & Greenwich St	(6, 2)
Carroll St & 6 Ave	(0, 1)
Central Park West & W 85 St	(4, 1)
45 Rd & 11 St	(0, 3)
Humboldt St & Varet St	(1, 0)
Henry St & Middagh St	(0, 2)
E 115 St & Lexington Ave	(0, 1)
Cadman Plaza West & Montague St	(1, 3)
