Richardson St & N Henry St	(3, 2) 
Leonard St & Maujer St	(1, 1) 
William St & Pine St	(5, 3) 
Court St & State St	(0, 5) 
Washington St & Gansevoort St	(22, 18) 
Vesey Pl & River Terrace	(203, 214) 
LaGuardia Pl & W 3 St	(8, 13) 
E 51 St & 1 Ave	(5, 3) 
Monroe St & Tompkins Ave	(0, 1) 
Bergen St & Smith St	(3, 4) 
5 St & 51 Ave	(1, 0) 
Great Jones St	(6, 5) 
Center Blvd & 51 Ave	(3, 6) 
Dean St & Franklin Ave	(2, 2) 
Kingston Ave & Herkimer St	(2, 2) 
