2 Ave & E 99 St	(1, 0)
University Pl & E 8 St	(5, 4)
Catherine St & Monroe St	(1, 2)
9 St & 44 Rd	(2, 2)
Metropolitan Ave & Meeker Ave	(3, 2)
Graham Ave & Withers St	(1, 0)
Greene Av & Myrtle Av	(1, 2)
Vernon Blvd & 31 Ave	(1, 1)
S 5 Pl & S 5 St	(5, 3)
Division St & Bowery	(4, 3)
Clinton St & Grand St	(6, 6)
Clinton Ave & Flushing Ave	(1, 2)
9 Ave & W 45 St	(2, 7)
Cadman Plaza West & Montague St	(2, 2)
Driggs Ave & Lorimer St	(1, 0)
Avenue D & E 8 St	(3, 2)
Grand St & Havemeyer St	(1, 3)
DeKalb Ave & Franklin Ave	(1, 0)
Pitt St & Stanton St	(2, 0)
Lexington Ave & E 26 St	(6, 1)
Center Blvd & 51 Ave	(2, 5)
Eastern Pkwy & Franklin Ave	(3, 2)
48 Ave & 30 Pl	(0, 1)
Lafayette Ave & Fort Greene Pl	(2, 0)
Railroad Ave & Kay Ave	(1, 1)
W 24 St & 7 Ave	(6, 5)
Devoe St & Lorimer St	(0, 3)
E 43 St & 2 Ave	(3, 1)
Lawrence St & Willoughby St	(3, 3)
Leonard St & Nassau Ave	(1, 1)
Kent Ave & S 11 St	(1, 2)
West Drive & Prospect Park West	(2, 1)
W 116 St & Broadway	(1, 2)
W 20 St & 7 Ave	(4, 7)
3 St & 3 Ave	(1, 2)
McKibbin St & Bogart St	(1, 0)
Columbia St & W 9 St	(1, 0)
E 66 St & Madison Ave	(1, 2)
Kosciuszko St & Tompkins Ave	(0, 1)
Park Ave & Marcus Garvey Blvd	(1, 1)
Amsterdam Ave & W 73 St	(9, 9)
Broadway & Roebling St	(2, 2)
Berry St & N 8 St	(2, 1)
5 Ave & E 73 St	(2, 4)
Park Ave & St Edwards St	(1, 1)
E 58 St & 1 Ave (NE Corner)	(1, 1)
Macon St & Nostrand Ave	(2, 0)
Nassau St & Navy St	(1, 3)
Lexington Ave & E 36 St	(2, 2)
Madison St & Montgomery St	(1, 2)
Franklin Ave & Myrtle Ave	(1, 0)
3 Ave & E 100 St	(0, 1)
Halsey St & Tompkins Ave	(1, 0)
University Pl & E 14 St	(4, 4)
E 89 St & 3 Ave	(1, 3)
W 54 St & 9 Ave	(5, 2)
Greene Ave & Nostrand Ave	(1, 0)
3 St & Hoyt St	(1, 1)
W 35 St & Dyer Ave	(2, 1)
W 63 St & Broadway	(2, 5)
3 Ave & E 72 St	(0, 1)
Court St & State St	(1, 2)
Willoughby Ave & Hall St	(0, 5)
Roebling St & N 4 St	(1, 2)
Schermerhorn St & Bond St	(1, 2)
Berkeley Pl & 7 Ave	(1, 2)
Front St & Gold St	(2, 1)
Flushing Ave & Vanderbilt Ave	(1, 1)
Prospect Pl & 6 Ave	(1, 1)
E 76 St & Park Ave	(0, 2)
44 Dr & Jackson Ave	(1, 1)
14 St & 5 Ave	(2, 0)
Market St & Cherry St	(0, 1)
Van Brunt St & Wolcott St	(0, 1)
White St & Johnson Ave	(0, 1)
Pleasant Ave & E 116 St	(1, 1)
E 85 St & York Ave	(2, 1)
Myrtle Ave & Lewis Ave	(0, 1)
Clermont Ave & Lafayette Ave	(0, 2)
Underhill Ave & Lincoln Pl	(1, 1)
Graham Ave & Herbert St	(0, 2)
Willoughby Ave & Walworth St	(0, 1)
Riverside Blvd & W 67 St	(0, 2)
E 103 St & Lexington Ave	(1, 0)
Throop Ave & Myrtle Ave	(0, 1)
Carlton Ave & Dean St	(1, 0)
5 St & 51 Ave	(0, 1)
Henry St & Grand St	(5, 1)
Lenox Ave & W 115 St	(0, 1)
E 65 St & 2 Ave	(1, 0)
Putnam Ave & Nostrand Ave	(1, 0)
2 Ave & E 122 St	(1, 0)
Madison Ave & E 82 St	(2, 0)
Myrtle Ave & St Edwards St	(2, 0)
Montrose Ave & Bushwick Ave	(1, 0)
E 82 St & East End Ave	(1, 1)
E 91 St & Park Ave	(1, 2)
S Portland Ave & Hanson Pl	(1, 1)
E 118 St & 3 Ave	(0, 1)
7 St & 3 Ave	(1, 0)
Kent Ave & N 7 St	(0, 1)
Bedford Ave & Nassau Ave	(3, 1)
31 St & Thomson Ave	(1, 0)
State St & Smith St	(0, 1)
31 St & Newtown Ave	(1, 1)
Columbia St & Kane St	(1, 0)
Monroe St & Classon Ave	(2, 0)
Queens Plaza North & Crescent St	(2, 0)
Morningside Ave & W 123 St	(1, 0)
Frederick Douglass Blvd & W 112 St	(0, 1)
E 109 St & 3 Ave	(0, 1)
Pearl St & Anchorage Pl	(0, 1)
24 Ave & 26 St	(0, 1)
Cathedral Pkwy & Broadway	(0, 1)
Central Park West & W 85 St	(1, 1)
Pacific St & Nevins St	(0, 1)
Columbia St & Degraw St	(0, 1)
31 Ave & 30 St	(1, 0)
Court St & Nelson St	(0, 1)
Dean St & Hoyt St	(0, 1)
11 Ave & W 27 St	(0, 1)
Richardson St & N Henry St	(0, 1)
Clinton St & 4 Place	(0, 1)
Union St & 4 Ave	(0, 2)
Driggs Ave & N 9 St	(1, 1)
S 4 St & Rodney St	(1, 0)
W 116 St & Amsterdam Ave	(1, 0)
Bedford Ave & S 9 St	(2, 0)
7 St & 5 Ave	(0, 1)
Berkeley Pl & 6 Ave	(0, 1)
Kosciuszko St & Nostrand Ave	(0, 1)
W 89 St & Columbus Ave	(0, 1)
34 St & 35 Ave	(1, 0)
14 St & 7 Ave	(1, 1)
Commerce St & Van Brunt St	(0, 1)
Douglass St & 4 Ave	(1, 0)
Atlantic Ave & Furman St	(1, 2)
Amsterdam Ave & W 82 St	(0, 1)
6 Ave & 9 St	(0, 1)
Wyckoff St & 3 Ave	(0, 1)
E 81 St & Park Ave	(1, 1)
W 4 St & 7 Ave S	(4, 1)
Pike St & Monroe St	(0, 1)
Jackson Ave & 46 Rd	(1, 0)
Jay St & Tech Pl	(0, 1)
21 St & Queens Plaza North	(1, 0)
E 114 St & 1 Ave	(0, 1)
Riverside Dr & W 91 St	(0, 1)
Bushwick Ave & Powers St	(0, 1)
Division Av & Hooper St	(0, 1)
35 Ave & 10 St	(0, 1)
Lincoln Pl & Classon Ave	(1, 0)
Sullivan Pl & Bedford Ave	(0, 1)
Henry St & Degraw St	(1, 0)
Cambridge Pl & Gates Ave	(0, 1)
Hancock St & Bedford Ave	(1, 0)
W 100 St & Manhattan Ave	(1, 0)
E 118 St & Madison Ave	(0, 1)
Central Park North & Adam Clayton Powell Blvd	(0, 1)
Union Ave & Jackson St	(1, 0)
Fulton St & Clermont Ave	(0, 1)
